Itr,MaxReturn,MinReturn,EnvExecTime,Average reward,PolicyExecTime,StdReturn,Average latency,NumTrajs,Average greedy latency,AverageDiscountedReturn,AverageReturn
50,-2.4910677027954535,-18.69911071965972,0.8836805820465088,-7.9349228505338685,2.477123498916626,2.776629005016072,487588504.9276119,10000,216310736.48894814,-7.262830272547828,-7.939215899733164
51,-2.3244446604872415,-17.474753393881777,0.8959593772888184,-7.557902619471804,2.5058681964874268,2.7336605684667203,11731921.625643697,10000,216254318.0148006,-6.96671448173425,-7.586257695301515
52,-2.3822490153878766,-17.58708763704735,0.9243857860565186,-7.431818909956998,2.496767044067383,2.8415779606892095,10434415.998756599,10000,6434936.375587361,-6.9277614686496625,-7.535949557911686
53,-2.2933984682722235,-17.59917940683755,0.915107011795044,-7.569806334591977,2.4933714866638184,2.8738094487196357,562518.7729319363,10000,210386556.8297104,-6.918422746481142,-7.518438867398838
54,-2.200697730173367,-17.711978640966368,0.9106836318969727,-7.531241984747667,2.514448404312134,2.862903793052212,555153604.8798736,10000,210693350.8064009,-6.942437481241106,-7.554138893678018
55,-2.3593497503488443,-17.699857057877832,0.9117560386657715,-7.578354977821434,2.504753351211548,2.867659957228628,590876.63432421,10000,627762.1442195628,-6.982112307311664,-7.595559562816308
56,-2.336914984541819,-17.752262033074867,0.9134564399719238,-7.530578029454924,2.479541540145874,2.904728787920738,466001.17623578233,10000,210303098.53298172,-6.960575064082175,-7.57291996035506
57,-2.338834060581208,-17.823512165960903,0.8983335494995117,-7.646487727877791,2.48514461517334,2.9392497756741913,739846.3985050991,10000,659744.9188987162,-6.994254832768717,-7.610491251038514
58,-2.409614886038648,-18.07456126069704,0.9103708267211914,-7.5513470371374165,2.496345043182373,2.8883926200501517,10666000.613383472,10000,6336817.329610212,-7.01818855637768,-7.6465741983723285
59,-2.3605530656043614,-18.102597952297014,0.9006304740905762,-7.572289150840635,2.491180658340454,2.8191127363181194,10119134.31157845,10000,216243931.79167056,-7.023905300180058,-7.6573043724741
60,-2.272310314816342,-18.265134988731102,0.9093167781829834,-7.5468053763021485,2.494729995727539,2.8546647028658567,561003339.8384749,10000,216382531.64494917,-7.034936580268563,-7.665226694589392
61,-2.381596527918196,-18.336362747972245,0.907780647277832,-7.746591850123424,2.4971890449523926,2.8965189985252078,624792.0655446919,10000,216221525.25171167,-6.994230010479879,-7.6162739485968505
62,-2.3593497503488443,-17.837007130531042,0.914625883102417,-7.623679645727743,2.4879653453826904,2.9189070301343576,11155363.212558312,10000,216431591.76107535,-7.017011429460572,-7.637717835910889
63,-2.287491625865983,-18.389980003177318,0.9189567565917969,-7.581730914869661,2.5023648738861084,2.97220434862215,10792773.777107941,10000,6340165.570819378,-6.951439914215307,-7.554779021847374
64,-2.338834060581208,-17.586675133102137,0.9240725040435791,-7.713661837089309,2.4892685413360596,2.925061769419306,11137068.551696219,10000,6276866.768113466,-6.984938035045202,-7.594089007779331
65,-2.303073718829824,-18.037308330889516,0.9251291751861572,-7.829089191461741,2.4881956577301025,3.1285942056169205,605386.9412583958,10000,6420500.938459252,-7.073640927970078,-7.6781480172288985
66,-2.227876133431406,-17.67420505055439,0.9303369522094727,-7.680824413891937,2.4827468395233154,3.027572195821867,11008707.531571316,10000,6336117.594851155,-7.046851442487015,-7.652828275427424
67,-2.135230864845801,-17.848529266935984,0.9200217723846436,-7.636217338249294,2.4950385093688965,3.0081220812035765,269490.2321303365,10000,6221983.670820697,-6.959830195878405,-7.56089365314687
68,-2.280892227971989,-18.312115390863028,0.9265446662902832,-7.60119723908329,2.4799063205718994,2.965471859814672,627676.7579524457,10000,6430452.906768997,-6.982459762674169,-7.586649877566638
69,-2.368169125269233,-18.412138182521673,0.9274308681488037,-7.388367049035548,2.493706226348877,2.8944451936992523,10641927.506578086,10000,216401683.95535973,-6.90461373980059,-7.505521269812092
70,-2.3559854446041646,-17.96483468974463,0.9135079383850098,-7.456116675029436,2.500115156173706,2.7487002779141174,532573266.7208991,10000,216116710.743944,-6.8542407572953294,-7.46271824833251
71,-2.0801797444735484,-17.824256337522232,0.9091851711273193,-7.597137061672811,2.4728565216064453,2.745142167840173,531911571.8147623,10000,216110395.3667403,-6.905356434538802,-7.521777290786144
72,-2.3389308380410747,-18.97779737924977,0.9050445556640625,-7.598056629094348,2.5000579357147217,2.878565761555112,769772.735170339,10000,6310979.728838028,-6.9440708725163045,-7.561710430533847
73,-2.166465838175043,-18.23689737694,0.9050130844116211,-7.585366381284725,2.471797227859497,2.9224826892592963,559740241.5684153,10000,216120568.50404748,-6.969837403513863,-7.582746268728297
74,-2.3861943312261436,-17.82450428156768,0.9418351650238037,-7.600473533605851,2.4985709190368652,2.817973708462613,525054612.1095766,10000,210481606.06432813,-6.992437918252341,-7.6212085838353465
75,-2.3622353625384713,-18.239326716378017,0.9082472324371338,-7.559344060881075,2.4824283123016357,2.8899837222816527,651255.5987635944,10000,597216.624952358,-6.988543365864985,-7.609693204231476
76,-2.249992343957518,-17.46215302873439,0.902778148651123,-7.532247943256531,2.495537519454956,2.791487706015517,494874644.22848535,10000,216118459.64017642,-6.913615714507086,-7.5249681361325464
77,-2.2823571970387393,-18.139258311359363,0.8971903324127197,-7.694469690839364,2.4754438400268555,2.9132276340430576,684098.3792729472,10000,407787.8640033133,-7.039837442742182,-7.6643502313075835
78,-2.2815894765613907,-17.83731520027346,0.9157614707946777,-7.622781580889663,2.501478910446167,2.857540114492275,545841764.6613629,10000,210547015.79494268,-7.029786129669416,-7.658870719303722
79,-2.265031493940049,-18.339395123074205,0.899583101272583,-7.665061657786413,2.48323917388916,2.8034840502368668,478357.24573214416,10000,216171396.4050877,-6.985233830240077,-7.6096522850787744
80,-2.350566862846638,-17.698426658289645,0.8978652954101562,-7.650851559741609,2.46705961227417,2.8964456431543333,351573.0358690518,10000,614486.8459642751,-7.098938443806852,-7.734146843836199
81,-2.075749403597709,-17.977569462732337,0.8930521011352539,-7.5647843337851315,2.460919141769409,2.880286245597084,528781232.8110164,10000,216377924.75298998,-6.96681721523317,-7.5797577217048016
82,-2.253820935604267,-18.462149578354445,0.9105327129364014,-7.58566150241632,2.4676120281219482,2.7950946116082074,706349.425168898,10000,216435680.43075204,-6.914953073119167,-7.52836857079722
83,-2.2413328443610916,-17.58584970194468,0.952528715133667,-7.366513615912962,2.4795773029327393,2.8874549047753844,541454376.9537829,10000,216223238.49569112,-6.885563410946695,-7.483996861531883
84,-2.144688390890433,-17.585849701944692,0.9204981327056885,-7.648133559355835,2.4859111309051514,2.999645557439331,10400930.635264756,10000,6315230.101730405,-6.973786339474634,-7.5764120223136455
85,-2.2914840384142057,-18.09009510333365,0.9196650981903076,-7.609273284556653,2.482562780380249,3.088357222036386,407371.8954387316,10000,6484426.270630065,-6.992570497941105,-7.593002370774298
86,-2.2650314939400493,-17.83731520027346,0.9174516201019287,-7.564163608480905,2.479090929031372,2.994999015525688,553971854.1984729,10000,210579204.42517164,-7.042121844718256,-7.642884136800122
87,-2.339340984724166,-18.237327864047053,0.9194293022155762,-7.586947280039912,2.504237651824951,2.9320561767360394,616068.8415223934,10000,6252084.802457308,-6.933082143803373,-7.5338490545658106
88,-2.4636958204622874,-18.261905924876665,0.9012856483459473,-7.518194993665263,2.5064125061035156,2.894125607117315,541330426.2465659,10000,216192584.66171768,-6.907075805850065,-7.504329994689064
89,-2.3858721123696545,-17.263659757660545,0.9313981533050537,-7.5218744219080635,2.492091417312622,2.8605850132320656,529151805.5354613,10000,210463537.98666805,-6.9218262721530674,-7.524400088171083
90,-2.3687472875362348,-17.00200559776983,0.9090611934661865,-7.435065702016567,2.5002477169036865,2.795406983076335,10368387.63261393,10000,216203768.74149588,-6.820494028552047,-7.414079022841643
91,-2.3261692166849066,-17.837007130531045,0.9096469879150391,-7.580774312410987,2.4750657081604004,2.8438822959262793,1014016.3023654742,10000,210591383.49229804,-6.957822107604833,-7.571928938478221
92,-2.3713916473836942,-17.711978640966368,0.9081194400787354,-7.62142063124172,2.482969284057617,2.9680993118448966,947720.9130013936,10000,210655180.64259323,-6.928375853784465,-7.530460415807576
93,-2.3767218523355447,-17.752518181509014,0.9162960052490234,-7.557262324945097,2.4948298931121826,3.0142477414296978,417175.2869602839,10000,702364.1555951202,-6.9781312811603184,-7.575711410699725
94,-2.4020739586409094,-17.949299076739734,0.9148526191711426,-7.472126954841992,2.4715652465820312,2.9224941472943713,760920.8204714457,10000,210587917.42021453,-6.923735633879091,-7.52355920228101
95,-2.343615346530695,-17.712276589510694,0.9251711368560791,-7.5260699999614005,2.501821756362915,2.7954169582277206,259537.871622643,10000,6264101.429657217,-6.881208400849407,-7.4764590122441605
96,-2.281659948449338,-17.58584970194468,0.904456615447998,-7.442964736302744,2.4608540534973145,2.8732283027656247,536721113.99746925,10000,216172460.3768507,-6.8374734153182954,-7.423173478859372
97,-2.3911242948716085,-17.84963250555515,0.935448169708252,-7.413569964334098,2.4623985290527344,2.741304362101755,543146552.1437736,10000,216117821.92662486,-6.820481053476906,-7.419391998316604
98,-2.397788312846572,-17.32439032330896,0.9192376136779785,-7.461581268916398,2.4913623332977295,2.8806315188494613,826587.1308192919,10000,210684409.35711208,-6.92888529630522,-7.523789510322986
99,-2.338066340103859,-17.31188747434559,0.9203169345855713,-7.518836444640723,2.469508647918701,2.861006257308804,514939874.38208807,10000,210483369.098031,-6.856646476860666,-7.45283987523659
100,-2.358691971089769,-18.049666691084905,0.9223175048828125,-7.383481521941772,2.502229690551758,2.8658611417948516,567937.2831464304,10000,216422399.5530119,-6.877236909061698,-7.472656595721569
101,-2.281659948449339,-17.752262033074867,0.9192507266998291,-7.488565891766915,2.4800117015838623,2.8396023579074607,10274846.46503833,10000,6276866.768113468,-6.8892364963819706,-7.490222298356851
102,-2.323497860106029,-17.849866380189695,0.9203362464904785,-7.308520479637585,2.475555419921875,2.8674456174037,538251344.3357005,10000,216244839.51562017,-6.856051825988281,-7.448800879059447
103,-2.3001731617668666,-18.852638138282085,0.9096362590789795,-7.54987908337622,2.501584768295288,2.900738902069034,347175.44137241447,10000,376224.12725122157,-6.892203614708767,-7.489934936223598
104,-2.3924243139524264,-18.7122065574838,0.9069702625274658,-7.566343906437052,2.484776258468628,2.8595041038264397,10364512.343775053,10000,6439168.197695621,-6.945905326518271,-7.555187119997337
105,-2.293563623909728,-17.263659757660545,0.9140148162841797,-7.388130212118705,2.4723331928253174,2.736092282093681,516336959.33353555,10000,216214199.34796327,-6.775343712995047,-7.368836451546234
106,-2.453779047691307,-16.852313056650218,0.9179694652557373,-7.467447439119549,2.507728099822998,2.858716613757319,10316451.410597177,10000,6218379.211262724,-6.889087522391109,-7.486927877921819
107,-2.4218351846665387,-17.58695015140169,0.9056100845336914,-7.454741309727988,2.503438711166382,2.790402857814567,625483.7626106348,10000,6470222.415553348,-6.864572559717021,-7.462527262483846
108,-2.2906920414478558,-18.924264634027168,0.9291939735412598,-7.398165611334495,2.473853826522827,2.91688751767346,363324.8943461456,10000,401696.57360035146,-6.851874314566034,-7.448001413243524
109,-2.3222056060719187,-18.199589750261715,0.920684814453125,-7.467163914037311,2.48162579536438,2.8454965109179944,584364.9672442916,10000,210608945.16112006,-6.895753664915693,-7.4957450283277725
110,-2.313826419846525,-17.627489691944334,0.9201796054840088,-7.5459694649008915,2.488175630569458,2.8646051298974102,513172242.22884923,10000,216433843.76363185,-6.889555265643344,-7.490478066320179
111,-2.262364664735389,-18.84988768433983,0.9256906509399414,-7.408344798975525,2.4825878143310547,2.883949608498265,10458983.571246302,10000,216209992.82710677,-6.89871335455706,-7.495648410845568
112,-2.19512676645227,-18.84973789599115,0.9289448261260986,-7.593450049661813,2.4812769889831543,2.9829991764613517,537665607.5051857,10000,216360060.2490974,-6.974669142924546,-7.572973520712348
113,-2.253963194589232,-18.115100801239677,0.917799711227417,-7.3536103582589885,2.4893810749053955,2.938923123770066,10372577.203923171,10000,6412436.66502306,-6.921208028779953,-7.520463467620029
114,-2.2413328443610916,-18.102597952297014,0.912865400314331,-7.478258551310515,2.470581531524658,2.8477822949978995,640689.8017879461,10000,216310865.50435543,-6.815455099668082,-7.40285206928447
115,-2.3682148196133883,-16.986469984764938,0.9109971523284912,-7.287285119102869,2.497954845428467,2.784355097820571,10936603.368795618,10000,6247957.50728457,-6.842623768358872,-7.430720882451381
116,-2.410160187976486,-18.62489555413229,0.9179277420043945,-7.379689778335135,2.45872163772583,2.803075348486851,537375396.1736223,10000,216247467.76653424,-6.8745221674435335,-7.478318825349028
117,-2.4885508134868966,-18.09009510333365,0.9000861644744873,-7.509566805404381,2.488192558288574,2.7873116236445425,553062.9386722608,10000,6435697.512279767,-6.894455604788817,-7.496614841760804
118,-2.3969473635410985,-17.589706472092114,0.9210145473480225,-7.355765148682282,2.4913089275360107,2.773088925140685,11020537.552974524,10000,6302946.003498883,-6.883071212816932,-7.481064404741076
119,-2.3323225817760314,-16.949702119345424,0.9033370018005371,-7.410197542143075,2.495332956314087,2.6679639911120305,10244258.814163407,10000,216112108.61071962,-6.8029799276857545,-7.4073989945101015
120,-2.2153524985292212,-17.712276589504174,0.9053909778594971,-7.423683397104476,2.4602179527282715,2.773822009697777,503769102.8640711,10000,210280334.54272878,-6.846645539476802,-7.442162573163648
121,-2.272310314816342,-16.87696285855233,0.9092726707458496,-7.431332745447809,2.4511008262634277,2.661311563530402,10766640.654065726,10000,6342971.7306320425,-6.826744327990644,-7.424622357045181
122,-2.4944779263197754,-17.251151206334242,0.911062479019165,-7.446420056428862,2.515183448791504,2.590099533721747,498466572.31710315,10000,216342684.6387062,-6.828942678868539,-7.43524540138559
123,-2.371793649893479,-17.68697294303963,0.8968391418457031,-7.586472012946879,2.454197406768799,2.6381379268312584,633968.4227724384,10000,577580.1044230388,-6.906136635187341,-7.515818994875814
124,-2.052943676869491,-18.69023185323031,0.9378716945648193,-7.395436882384324,2.4498801231384277,2.7002216009307256,217210.54216906623,10000,6356300.121124881,-6.846910767525484,-7.440464780551195
125,-2.358610304548604,-17.072999119933346,0.909207820892334,-7.303382999735788,2.4860541820526123,2.7809801175210693,498257790.2947131,10000,216414168.47972783,-6.820020197098399,-7.413934523778871
126,-2.141738470245699,-17.948597673632168,0.9275474548339844,-7.4389842774654795,2.5052378177642822,2.8334797890815535,229079.8477601409,10000,216061618.97711766,-6.831442042890822,-7.4260118856331045
127,-2.3815942896299394,-17.237492565225125,0.9315752983093262,-7.630290365019329,2.4839041233062744,2.9944379240711325,11303680.284653028,10000,216197673.08414602,-6.9496037974164615,-7.552772333541101
128,-2.1451878145680583,-18.65575430006175,0.9261472225189209,-7.620335629326346,2.471503496170044,2.950013715471639,580274356.2527854,10000,210470073.6472469,-6.908790055978196,-7.5171173948114145
129,-2.1484080445402087,-17.75149323701928,0.9208569526672363,-7.45861596381531,2.5027222633361816,2.9161703612898107,541755.3089458788,10000,377428.6730863066,-6.8034863567569746,-7.38922538070866
130,-2.379087429013932,-17.85266332654229,0.9360942840576172,-7.550936410713338,2.5007476806640625,2.953629740624466,418429.70647789125,10000,216234702.428078,-6.8986097352667155,-7.491609879008938
131,-2.2933984682722235,-17.849509979473716,0.929419994354248,-7.495617858908573,2.500760078430176,2.94326242179896,564668978.4011292,10000,216337307.23798758,-6.892889976333956,-7.489616560795766
132,-2.272310314816342,-18.389429326701876,0.9506089687347412,-7.461168194193919,2.4822983741760254,3.0723034875179205,551346917.8062762,10000,216193192.30250102,-6.982401040106839,-7.585825382251796
133,-2.031613185370818,-17.674855504159535,0.9674384593963623,-7.593160299964284,2.484504461288452,3.0699553308291554,221269.74852132445,10000,210481818.55637372,-6.997375782958712,-7.604736492582647
134,-2.2124596870459614,-16.96198080726687,0.9332010746002197,-7.529426233450233,2.4734861850738525,2.9763178017353353,573371.9646475906,10000,210479803.26062012,-6.94996699103757,-7.551364411106298
135,-2.2365482623325676,-18.28720728639566,0.9266653060913086,-7.625133801791397,2.492779493331909,3.038614585900027,782014.0552483676,10000,210552749.23142835,-6.902306717973504,-7.500230522783188
136,-2.3048317924603934,-17.849790018552156,0.9211220741271973,-7.455742968048387,2.4732446670532227,2.7933762511116695,496259.6312184141,10000,216141959.1034924,-6.781223306328281,-7.368610142946071
137,-2.412396295104205,-16.752290264991576,0.9199645519256592,-7.389094424805351,2.504291534423828,2.866807324477587,499659464.7185995,10000,210674229.39703235,-6.792297427302711,-7.371434434767123
138,-2.1219325995724456,-17.123033323001852,0.9103679656982422,-7.218525570636489,2.4751877784729004,2.759528967475017,517720644.12680966,10000,210425530.80587277,-6.740684369724192,-7.319259418859627
139,-2.352565923557293,-17.58695015140169,0.9172084331512451,-7.343753068003649,2.4462075233459473,2.733568760470218,494216738.1408991,10000,216238112.69049466,-6.747459109458502,-7.337101332918299
140,-2.3822490153878766,-17.54944160451158,0.9036672115325928,-7.345497786144802,2.4959616661071777,2.639255835721375,506141641.1330003,10000,216433626.51285136,-6.750956369393316,-7.3423503234664125
141,-2.281659948449338,-17.355458008582186,0.9495222568511963,-7.358935327351507,2.494344711303711,2.612189308435387,495557363.07905245,10000,216432075.97119415,-6.820784129352009,-7.423275194484304
142,-2.558078472112041,-17.889087296016847,0.8982110023498535,-7.450574811823401,2.495347023010254,2.631080595272573,10877962.364445936,10000,216368266.84187976,-6.8582215534382485,-7.461426883460679
143,-2.4107659052017807,-17.72751248360298,0.8947844505310059,-7.32633628533333,2.500295639038086,2.6624804007200815,517329595.4749979,10000,216491168.25304362,-6.847974696286029,-7.4434887521693325
144,-2.2807183768578208,-19.215351509415765,0.9067070484161377,-7.4529987513593845,2.5048775672912598,2.6933317626399367,631832.6229963483,10000,216412963.93389276,-6.789369755589096,-7.383293664236457
145,-2.1936184055913333,-17.865043822110323,0.9163291454315186,-7.33156774637193,2.49448299407959,2.7676737096349986,230225.40559983635,10000,210523648.12570968,-6.775230011060917,-7.362217189228605
146,-2.2440851874345262,-17.849264885272568,0.9192404747009277,-7.400410360799075,2.4915645122528076,2.7284320155280826,847702.5460253366,10000,6363299.8721884135,-6.689234060843659,-7.268999603164057
147,-2.346086288755987,-17.46495265551025,0.9181272983551025,-7.44955049325662,2.510197877883911,2.8620127727743743,862520.0174739393,10000,210568919.43398687,-6.788242737795989,-7.364098769907896
