MaxReturn,Average latency,AverageReturn,NumTrajs,Average greedy latency,StdReturn,PolicyExecTime,MinReturn,AverageDiscountedReturn,Itr,Average reward, EnvExecTime
-2.2986325821480604,1249.7470028490447,-9.167390825410243,10000,843.0989974964688,2.114199136044085,1.502089500427246,-13.785602198840202,-8.41557610517098,33,-8.615105652267172,0.979466438293457
-2.6838433268908224,1356.4997356137958,-8.99646749223503,10000,843.0989974964688,2.102828262529188,1.5194647312164307,-13.785602198840202,-8.270452028535356,34,-9.448282510201413,0.9624896049499512
-2.488853912892212,1377.65296851293,-8.751357612264625,10000,843.0989974964688,2.159682849547055,1.5088417530059814,-13.785602198840202,-8.061352553993094,35,-9.510144267169892,0.9516787528991699
-2.5155079447252033,1329.4900121409444,-8.488782682758748,10000,843.0989974964688,2.1885285257373126,1.4811794757843018,-13.746769504627963,-7.835732206630359,36,-9.164083057192567,0.937859296798706
-2.472268186011307,1306.1856822124535,-8.348915207582486,10000,843.0989974964688,2.1897796580886135,1.5071187019348145,-13.633981768092164,-7.715205060059326,37,-9.079303829588042,0.9361231327056885
-2.588156786451235,1163.0382685859245,-8.2530389642262,10000,843.0989974964688,2.0776755023752234,1.5019357204437256,-13.633981768092164,-7.632504292650934,38,-7.989326111035455,0.9317004680633545
-2.492611268496828,1130.433616779717,-8.188258532219578,10000,843.0989974964685,2.0988545865302024,1.5035209655761719,-13.592306215072234,-7.576017960329108,39,-7.8783318798882975,0.9341955184936523
-2.5456914721119577,1242.760669347665,-8.151428107146083,10000,843.0989974964688,2.112518466422436,1.5076916217803955,-13.72510592951354,-7.543624435162404,40,-8.706568658860913,0.9162487983703613
-2.54897028147468,1103.2202102153396,-8.193655102572766,10000,843.0989974964688,2.0320144673123375,1.503368616104126,-13.145419446427764,-7.581087945773806,41,-7.7395849079403956,0.9339845180511475
-2.607894819114478,1352.236590984903,-8.279412925968352,10000,843.0989974964688,2.094307008973285,1.522146463394165,-13.50206785769549,-7.656993387891135,42,-9.42363061457471,0.9370384216308594
-2.588156786451235,1214.1920810514068,-8.411517734346308,10000,843.0989974964688,2.18887504990447,1.5008749961853027,-13.785602198840202,-7.770692048140867,43,-8.389556290628313,0.9465658664703369
-2.492611268496828,1137.7214489661515,-8.54340874178029,10000,843.0989974964688,2.190471889374065,1.5130484104156494,-13.658859843015295,-7.8843260240248,44,-7.968645596524636,0.9447791576385498
-2.492611268496828,1172.761630746302,-8.57899671372596,10000,843.0989974964688,2.2849347269873994,1.5106346607208252,-13.658859843015295,-7.913632192694664,45,-8.140773627934486,0.9456896781921387
-2.4293313773991687,1149.0393070760342,-8.567767978710322,10000,843.0989974964688,2.2581004907736175,1.5261783599853516,-13.785602198840202,-7.903330728003083,46,-8.00301480652741,0.9416935443878174
-2.4926112684968276,1310.7959118030467,-8.533102791432905,10000,843.0989974964688,2.206593433642858,1.4991552829742432,-13.715846238634223,-7.8731475929823285,47,-9.117075095345426,0.9457740783691406
