Average greedy latency,MaxReturn,Average latency,MinReturn,PolicyExecTime,AverageDiscountedReturn,EnvExecTime,Itr,Average reward,NumTrajs,StdReturn,AverageReturn
254655.33136468593,-7.31983550144233,278825.7715041824,-17.499786358697637,2.520632266998291,-11.45581789861758,0.7483944892883301,19,-12.559509874543997,10000,3.4751745245562944,-12.52501614092798
692226.6856057892,-6.562047169024412,2150720.898543529,-18.014172803688105,2.4808669090270996,-11.466820892574338,0.7475845813751221,20,-12.522251693732434,10000,3.456506917073308,-12.532519407604251
114979530.86183408,-6.290375573572344,373442602.29685616,-18.21219446682783,2.4830265045166016,-11.251943795066266,0.7601876258850098,21,-12.273792753177679,10000,3.371673120786457,-12.275536347163701
114958833.047414,-6.321233009488385,357506727.9896611,-18.461448255643504,2.49975848197937,-10.913215666740882,0.7774112224578857,22,-11.922863438964422,10000,3.290584499928227,-11.888378999481642
740323.0548552613,-5.758315034189744,430175.40313398093,-18.265134988731095,2.5209994316101074,-10.636303920953168,0.786658525466919,23,-11.38202555564586,10000,3.209357069560038,-11.563300296849508
737030.7006851183,-5.4031209632304815,451758.0914557512,-18.51451483437314,2.515599489212036,-10.216263785213528,0.7959671020507812,24,-11.002652185690033,10000,3.0551484673783205,-11.083047274473197
114910869.80058879,-5.689790326333974,1966825.608996865,-18.849213328306057,2.528254270553589,-10.463536616120669,0.7919175624847412,25,-11.529677402791345,10000,3.1477938993632812,-11.365431788974682
704258.1451661355,-6.179309350075897,513395.60309023084,-18.237098297131123,2.509202718734741,-11.14995559240024,0.7693009376525879,26,-12.360239095157537,10000,3.3500325639003172,-12.157320418420385
114959828.02943447,-6.789992514135117,2113831.181973049,-18.21219446682783,2.4945130348205566,-11.352900191729676,0.752011775970459,27,-12.618868837629766,10000,3.4422018944375385,-12.398731021656582
114941963.06637107,-7.045639657729723,2243392.534511252,-18.1118546377225,2.4487287998199463,-11.329768089649736,0.7506496906280518,28,-12.504418826790955,10000,3.447362749217924,-12.376895800544627
685685.5827352414,-6.902236265990587,2059803.9582912833,-18.21219446682783,2.4837329387664795,-11.476716744174208,0.7475016117095947,29,-12.55896706786908,10000,3.4773522263692582,-12.542474026103207
114484738.10396473,-6.395649377965254,581336.6702123855,-17.499991900521746,2.4954471588134766,-11.474782272201537,0.7467596530914307,30,-12.694565386204339,10000,3.4654798754818765,-12.537517828543507
114900588.83670047,-6.915687968890102,382949824.2265736,-18.21219446682783,2.5251801013946533,-11.39906271671326,0.77178955078125,31,-12.664404581955635,10000,3.4370004874558786,-12.45516188299738
114921877.74775183,-6.111745261081135,369698490.2814979,-18.112177374057133,2.484622001647949,-11.27559200430676,0.7517056465148926,32,-12.39256458786047,10000,3.390032671935569,-12.304512104664761
114507069.66127561,-6.404189469259708,371912428.2403655,-18.237098297131123,2.4910895824432373,-11.122729589491513,0.7616968154907227,33,-12.281414386375074,10000,3.336645948915687,-12.122858468033463
696731.0674225413,-5.929752642254167,2057113.942753193,-18.237098297131123,2.512944459915161,-10.99929863880493,0.7722508907318115,34,-12.166700278334343,10000,3.3119265799968813,-11.981254702362428
114911541.37258767,-6.161449202419705,1975834.924886434,-18.336362747972245,2.5018718242645264,-10.980234137521615,0.7783610820770264,35,-12.141337289658974,10000,3.279680807880274,-11.958005198597535
114447512.74927819,-6.181735771205174,354432369.6301087,-18.58701704684219,2.4586782455444336,-10.808026472286423,0.7846217155456543,36,-11.929892581935917,10000,3.227484552921408,-11.752723349276287
245361.15195244912,-6.30428207527124,277164.2985652777,-18.737212255389835,2.5171165466308594,-10.635008246119998,0.791820764541626,37,-11.71902401312906,10000,3.176495475529213,-11.5562966987994
114931464.94005789,-6.150195109454011,508809.0927244869,-18.711619270986024,2.5028562545776367,-10.944126347911974,0.7702305316925049,38,-12.104544813093838,10000,3.1928915876045463,-11.90811186874499
114941721.54040705,-6.453334967574556,346296674.13721794,-18.587178067919126,2.5115246772766113,-10.76360478551915,0.7793834209442139,39,-11.981155956681517,10000,3.1433027904122626,-11.69671776406106
114493287.75417407,-5.924788268479449,329629785.689521,-18.962145264494705,2.5365092754364014,-10.198289310980265,0.8196942806243896,40,-10.9874193604953,10000,3.016701352655152,-11.04519215440561
114417038.16765465,-5.489411154300054,331238633.65502566,-18.96226353661316,2.5073788166046143,-9.989726895556885,0.8338911533355713,41,-10.86296648353521,10000,3.0774613571535294,-10.815110534067168
114436830.37766068,-5.645627912687147,328526.51547884,-18.962322662564404,2.4819562435150146,-10.011173583739804,0.832878828048706,42,-10.903280644900125,10000,3.050477092548287,-10.835690891279988
114983736.45633546,-5.8866100133455985,1993853.1641707802,-18.836704778657282,2.5172646045684814,-10.212007614657235,0.8307080268859863,43,-11.201950684156266,10000,3.032177610264245,-11.059878705523975
114506952.95662516,-6.343527780693675,339861147.7006569,-18.736636371961094,2.5121209621429443,-10.481451025137316,0.8049991130828857,44,-11.347383312806375,10000,3.042810081277763,-11.366307084335892
114485133.0882316,-6.384691438243937,336891.1678947163,-18.515022742394823,2.514375925064087,-10.78823702082148,0.8239209651947021,45,-11.64789408627223,10000,3.1570176469406035,-11.726620496359425
674254.1209285093,-6.255496664937828,199636.7353390578,-18.587178067919126,2.476487159729004,-11.000002735447627,0.7752931118011475,46,-11.760192405793312,10000,3.2717253346015966,-11.972260397143181
720056.0931553197,-5.5913520707395525,1931900.8487565964,-18.8623055697937,2.518674612045288,-10.469565627621114,0.8103840351104736,47,-11.25318594158493,10000,3.1279707524074882,-11.358736835087187
114961762.27482292,-5.332978766014871,337193404.6012818,-19.11189289497488,2.5369207859039307,-10.323431453407068,0.8153276443481445,48,-10.96146173600032,10000,3.1184255071541367,-11.191998385312562
695599.751497206,-5.192326188320219,1804065.142346005,-19.224735016665136,2.485126256942749,-10.03253280237522,0.8673999309539795,49,-10.916904714310155,10000,3.175556351336473,-10.870261158600478
114905263.0714913,-5.091032794970324,243799.33012723332,-19.502690344416916,2.5212066173553467,-9.949490665152014,0.8568398952484131,50,-10.71772167503863,10000,3.153944255562952,-10.782543985518412
688518.1792875223,-5.936003011704814,290461.58184945374,-18.961790286328544,2.4941272735595703,-10.140738789552861,0.8599929809570312,51,-10.890217947596522,10000,3.096837113864631,-10.985276427811208
707119.3888939703,-6.005890603592502,349925.95198265574,-18.836704778657282,2.4850528240203857,-10.330633842304712,0.8089258670806885,52,-11.036153860494428,10000,3.084262668841856,-11.199115932812784
114915570.11566918,-6.460800696603581,288903.17446798686,-18.586533763314765,2.498075246810913,-10.820573834293766,0.7737970352172852,53,-11.555123497624196,10000,3.1542920995368195,-11.769834192569231
