Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
34,10000,1.5115339756011963,1.7137842390607276,-8.268685805792556,823.665719100816,0.9988338947296143,1229.5526881878852,-3.367477405497761,-8.636203222546728,-13.785602198840202,-9.018545619927998
35,10000,1.506533145904541,1.9740342477646202,-7.282686023025946,801.8060748436791,0.9909043312072754,1172.2930720880317,-2.2280021651568944,-8.21038407732833,-13.785602198840202,-7.957589160149915
36,10000,1.4992046356201172,2.0818488997331053,-7.9347924479463545,840.0835316724232,0.9845554828643799,1271.5095234336309,-1.9350021958448362,-8.833423346037907,-13.658859843015295,-8.639541296826257
37,10000,1.4951674938201904,2.0653263293416435,-7.6153134273317,827.2175632622582,0.9911034107208252,1172.1425522017914,-2.222415340017722,-8.215654439678708,-13.633981768092164,-8.303369676161168
38,10000,1.5190508365631104,1.9168105314310364,-7.553245538888133,810.8346960203987,0.9917242527008057,1233.8486225743293,-2.342904867723332,-8.665509081262796,-13.658859843015295,-8.24252902611427
39,10000,1.5135843753814697,2.0370190803340575,-7.362636354528353,818.0732032879694,0.9939441680908203,1147.5300418188506,-2.2280021651568944,-8.071587222813866,-14.188910367202912,-8.03153012993749
40,10000,1.5208590030670166,2.005002530678563,-7.745911767283357,835.3076073281696,0.9927349090576172,1278.5183219756725,-2.486371364492517,-8.939803463186147,-13.779734801130962,-8.441073538569977
41,10000,1.499661922454834,2.0338596532235202,-7.842617303213259,829.5487906046594,0.9774928092956543,1300.8158733376422,-1.8182888394356178,-9.034940321302697,-13.9617205739963,-8.532215436938019
42,10000,1.5002796649932861,1.8624885993682672,-7.685891190947721,813.0119551876885,0.9882097244262695,1111.0713882977188,-2.494797433640808,-7.7767157902949196,-13.502067857695488,-8.370207857743871
43,10000,1.510472059249878,1.940810536233169,-7.843605042854005,835.0803289725576,0.9933412075042725,1237.94980818679,-1.9339225855129027,-8.594793711921467,-13.715846238634223,-8.529314410408077
44,10000,1.4930524826049805,1.979549693355469,-7.297111863922514,823.1832184018816,0.9792830944061279,1036.148900997674,-2.44465919239649,-7.198645229528684,-13.658859843015295,-7.939672151432183
45,10000,1.5031888484954834,1.8712978966277565,-7.37545323937004,831.7897606284141,0.9654126167297363,1086.687259317172,-2.4744087664194367,-7.6024152660518975,-13.71316859420831,-8.00714795761764
46,10000,1.5125985145568848,1.883635042333075,-6.8185334299430895,812.7069804218972,0.9706108570098877,970.4165159557424,-2.313430412075534,-6.754619461756505,-13.234868540019932,-7.4160023547039176
47,10000,1.5202951431274414,1.8253921878113866,-6.691955637320095,808.2692317881313,0.9542090892791748,987.9004570003509,-2.307233400426308,-6.883023071769884,-13.123846007705735,-7.26313636362614
48,10000,1.4786007404327393,1.7978802523713582,-6.565583227491443,804.0838801408769,0.967689037322998,983.8235911178726,-2.4057767744287624,-6.846569240941072,-12.533452734960042,-7.135572383914009
49,10000,1.510756254196167,1.8645084878584324,-6.649565804631582,810.6287479656629,0.944368839263916,1068.2952427029256,-2.359807920736162,-7.53135024828177,-13.103480851608985,-7.196939927089804
50,10000,1.4908874034881592,1.9458091899490322,-6.89044515689043,839.911618920013,0.9465343952178955,1104.6083062191035,-2.3879226981078037,-7.691501353494051,-13.069182796737502,-7.454741989359459
51,10000,1.5081679821014404,1.5904203657304916,-5.84943817200598,793.184101715047,0.9238379001617432,964.6029911620822,-2.3270828210492436,-6.7501864213932885,-13.087794821599633,-6.338911151095969
52,10000,1.5339157581329346,1.7878332906152044,-6.546543634054516,818.4693043705123,0.9249653816223145,955.7186436340932,-2.3719635634208065,-6.673835902045268,-12.9450590506849,-7.076067938735508
53,10000,1.5030319690704346,1.7394765178841491,-6.06516942636148,814.9915783625604,0.908416748046875,940.0792819629371,-2.4398292583105343,-6.509325013129572,-12.431541015010303,-6.560893716705466
54,10000,1.51674485206604,1.7779582634486366,-5.991409791619901,812.6643421230316,0.9013214111328125,945.6519281483978,-2.3270828210492436,-6.5437234701391525,-12.334305511863992,-6.497712974662654
55,10000,1.5015504360198975,1.6995696315610938,-6.679484953188522,830.1976293260301,0.9108242988586426,975.2459553863961,-2.5809323645272992,-6.823174123497552,-13.440750897232494,-7.236472888646416
56,10000,1.4938883781433105,1.752924347960299,-6.542292553915237,824.2899839994295,0.9088380336761475,1003.4355741626794,-2.4513808531086845,-7.04994658018719,-12.505785132631736,-7.093714364075979
57,10000,1.5135869979858398,1.727413180105668,-6.02585918758565,811.347575618376,0.8993148803710938,1056.860003074327,-2.3719635634208065,-7.355415232015084,-12.488472387649221,-6.524502984962201
58,10000,1.5175304412841797,1.6750463487905793,-5.89290397112586,812.2423154077258,0.9044232368469238,1007.8362063458989,-2.346473720632815,-6.947195913438266,-12.56377121474413,-6.380410570868737
59,10000,1.4924030303955078,1.6471819008009125,-5.988592048314139,804.0892343605177,0.9229736328125,892.9462811603598,-2.4057767744287624,-6.22701369448741,-12.08343301880705,-6.480991211615889
60,10000,1.5106606483459473,2.096034403197896,-6.269872137524854,832.1672851675306,0.9293606281280518,952.230961261496,-2.371963563420806,-6.526814603059352,-13.143408783018389,-6.789519584012957
61,10000,1.5160086154937744,2.0543293838013605,-6.689984262808862,829.7168946529797,0.9310834407806396,991.9864707796369,-2.415165299692366,-6.8378373304198234,-13.535575194952488,-7.231370908447411
62,10000,1.5064873695373535,1.8501130010672804,-6.8043587418573965,831.8376886384692,0.9356768131256104,1050.5493381368826,-2.4345242511483596,-7.281322674546772,-12.792400821788949,-7.350912635596902
63,10000,1.5172605514526367,1.9348526336356449,-6.986618412055676,836.2362672315599,0.9449429512023926,1134.6593824175998,-2.3755503163691185,-7.872003978125767,-13.495169730261273,-7.554656888312488
64,10000,1.5320334434509277,1.7707783791582072,-6.368186033818981,821.4877664544105,0.9298968315124512,984.641608466606,-2.2463253101501426,-6.7822652857288,-13.299406409902149,-6.893336219068753
65,10000,1.5122220516204834,1.6424814814936997,-6.1559654264010994,812.5748151363782,0.9294734001159668,959.3837440894018,-2.3995508335305473,-6.6331656176969,-11.924079658336149,-6.666185696408355
66,10000,1.5129034519195557,1.5730578942021134,-6.1448288695144075,824.0582943735667,0.912543773651123,1062.065176097543,-2.6919610880591414,-7.319449700266675,-12.558580299658846,-6.658994838709602
67,10000,1.5167181491851807,1.6419846381693997,-6.6062188344558805,834.5798178813935,0.8906126022338867,1024.6671465156664,-2.7200425450237327,-7.120324289527469,-12.416979309580903,-7.171200688439634
68,10000,1.496380090713501,1.5178942621750176,-6.6085697043727585,823.5351278781482,0.8708531856536865,1077.4218490198107,-2.7144410665683463,-7.528125133537793,-12.799558015628536,-7.196361480564634
