PolicyExecTime,Itr,Average reward,NumTrajs,Average latency,EnvExecTime,AverageReturn,AverageDiscountedReturn,MaxReturn,Average greedy latency,MinReturn,StdReturn
1.2427022457122803,338,-11.871609196602106,5000,621593840.4795157,0.3911619186401367,-11.871609196602105,-10.92429354508863,-6.742063056849341,420443996.4672509,-17.49975583553081,3.1162489395822086
1.2359192371368408,339,-11.647126783820777,5000,608160368.2954253,0.3991203308105469,-11.647126783820777,-10.731884764265532,-7.067438192716901,420443996.4672507,-17.611683680852476,3.0419550763730783
1.2286429405212402,340,-11.444367696644832,5000,588010626.7188283,0.39923882484436035,-11.444367696644832,-10.557808282678891,-6.53293997061097,420443996.46725076,-17.73595231059102,2.9822039527393027
1.2256457805633545,341,-11.29764646105146,5000,581293169.5168908,0.4003603458404541,-11.297646461051459,-10.430331487370777,-6.383138930588952,420443996.4672509,-17.611683680852476,2.960621343720273
1.226029872894287,342,-11.270976786982885,5000,567928053.1572806,0.4022393226623535,-11.270976786982885,-10.405661884990963,-6.5910984249978535,420443996.46725076,-17.58584970194469,2.955012572097038
1.2011573314666748,343,-11.257610966317621,5000,551944965.5010115,0.40047264099121094,-11.257610966317621,-10.393670814814786,-6.473492383602292,420443996.46725076,-18.390310228250268,2.953724242271551
1.2255091667175293,344,-11.328381233689763,5000,574579535.7341212,0.40741515159606934,-11.328381233689761,-10.453835356293522,-6.326452741295771,420443996.4672509,-17.836020717287205,2.9643702259645996
1.2331039905548096,345,-11.479490322186084,5000,594723365.7591124,0.3959181308746338,-11.479490322186084,-10.583379109461987,-6.511436099563346,420443996.46725076,-17.58584970194469,3.042939390688296
1.2264277935028076,346,-11.627827948810973,5000,588022112.3020779,0.39600062370300293,-11.627827948810973,-10.710701446783943,-6.7543421300394755,420443996.46725094,-17.499829089879196,3.060000568705139
1.2367358207702637,347,-11.802976842186155,5000,626925095.8288791,0.3897843360900879,-11.802976842186155,-10.860524698766453,-6.84571694665897,420443996.46725076,-17.499993271696958,3.1328914437281346
1.229429006576538,348,-12.016304866248994,5000,631678089.2055448,0.3907506465911865,-12.016304866248994,-11.043389220628567,-6.899707946814595,420443996.46725076,-17.499993271696958,3.21454672059823
1.2324891090393066,349,-12.182798883162427,5000,661886329.6357303,0.38165974617004395,-12.182798883162427,-11.184939596303526,-7.280752376950754,420443996.4672509,-17.499993271696958,3.276545715262139
1.2163445949554443,350,-12.323858169343168,5000,638402773.6128619,0.3856232166290283,-12.323858169343168,-11.30468306413884,-6.820557480705046,420443996.46725076,-17.499993271696958,3.332173156205286
1.2367687225341797,351,-12.457955104945867,5000,651835246.9603801,0.37977099418640137,-12.457955104945867,-11.419057326755697,-6.988745911712098,420443996.46725076,-17.499993271696958,3.3771994036862645
