EnvExecTime,NumTrajs,Itr,AverageDiscountedReturn,StdReturn,PolicyExecTime,MinReturn,Average latency,AverageReturn,Average reward,Average greedy latency,MaxReturn
0.9417414665222168,10000,389,-5.422887489754524,1.1510325223571207,2.471527099609375,-10.111037207560084,876.5622236050114,-5.855764856699467,-6.061939577209673,810.0724046765736,-2.6445283848424643
0.9383013248443604,10000,390,-5.516305003500462,1.2263138105229998,2.4601991176605225,-10.571966716573142,809.7064876145199,-5.956721137817931,-5.642367847783073,819.8678087123191,-2.5615384420197986
0.9362990856170654,10000,391,-5.555039472737171,1.308716690162529,2.4846560955047607,-10.247826908804756,927.6853509209387,-5.993718157275633,-6.402112279269382,823.2492821215494,-2.5542813987879818
0.9614541530609131,10000,392,-5.499792160245212,1.3734478848439775,2.4732179641723633,-10.918245853062203,871.3766511434499,-5.941239171982066,-5.99913380940045,824.6751981607573,-2.415165299692366
0.945389986038208,10000,393,-5.3874868721754225,1.4399290251532741,2.5065503120422363,-10.526497540495585,853.6390498119545,-5.817202149918517,-5.930009813778445,828.4866640498026,-2.4151652996923665
0.9709384441375732,10000,394,-5.175434168167083,1.3087855674386568,2.4609475135803223,-10.708552088055335,896.5752039429857,-5.597519382417299,-6.243995244285871,809.8520601757594,-2.4129125849860804
0.9629807472229004,10000,395,-5.1647993160042605,1.2784566589846327,2.480217218399048,-9.979299875949314,822.7486923440007,-5.578024032692726,-5.741104690495037,808.0797743437086,-2.444581623581132
0.949080228805542,10000,396,-5.3320609721057695,1.2275814653668669,2.4717187881469727,-10.595755199488211,836.615420424682,-5.766356342412986,-5.875503010426915,810.9436268068177,-2.4129125849860804
0.9437308311462402,10000,397,-5.0709483019534884,1.1358589377183874,2.4692482948303223,-9.822445468026245,758.9265670887457,-5.479533104733979,-5.22685310225328,801.4054406176158,-2.6775676438810834
0.9576008319854736,10000,398,-5.4793612886951415,1.4931447863684395,2.477214813232422,-10.57769156351758,880.3238745070375,-5.90827801098632,-6.099185510343899,830.2544772607939,-2.459120480252115
0.9469208717346191,10000,399,-5.454098343916454,1.3862337153712225,2.4799818992614746,-10.252933899114279,842.9268785717774,-5.883962877980471,-5.810977610300425,824.4413989788874,-2.2023678558064854
